EXIOBASE,NACE Rev. 2 Class,NACE Section,NACE Rev 2. Code,ISIC Rev 4. Class,ISIC Rev 4. Group,ISIC Rev. 4. Division,ISIC Rev. 4 Section ,ISIC Rev. 4 Unique Code,ISIC Rev. 5 Class,ISIC Rev. 5 Group,ISIC Rev. 5 Division,ISIC Rev. 5. Section,ISIC Rev. 5 Unique Code
Other business activities (74),"Accounting, bookkeeping and auditing activities; tax consultancy",M,69.2,"Accounting, bookkeeping and auditing activities; tax consultancy","Accounting, bookkeeping and auditing activities; tax consultancy",Legal and accounting activities,"Professional, scientific and technical activities",M_69_692_6920,"Accounting, bookkeeping and auditing activities; tax consultancy","Accounting, bookkeeping and auditing activities; tax consultancy",Legal and accounting activities,"Professional, scientific and technical activities",N_69_692_6920
"Recreational, cultural and sporting activities (92)",Activities of amusement parks and theme parks,R,93.21,Activities of amusement parks and theme parks,Other amusement and recreation activities,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation",R_93_932_9321,Activities of amusement parks and theme parks,Amusement and recreation activities,Sports activities and amusement and recreation activities,"Arts, sports and recreation",S_93_932_9321
Production of electricity by biomass and waste,Production of electricity,D,35.11,Biomass energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by coal,Production of electricity,D,35.11,Fossil fuels energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by Geothermal,Production of electricity,D,35.11,Geothermal energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by hydro,Production of electricity,D,35.11,Hydropower energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by nuclear,Production of electricity,D,35.11,Nuclear power production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
"Production of electricity by tide, wave, ocean",Production of electricity,D,35.11,Ocean energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by solar photovoltaic,Production of electricity,D,35.11,Solar energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Transmission of electricity,Transmission of electricity,D,35.12,Transmission and distribution of electricity,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by wind,Production of electricity,D,35.11,Wind energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas,D,35.21,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Manufacture of gas; distribution of gaseous fuels through mains,Distribution of gaseous fuels through mains,D,35.22,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Manufacture of gas; distribution of gaseous fuels through mains,Trade of gas through mains,D,35.23,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Activities of membership organisation n.e.c. (91),Activities of business and employers membership organisations,S,94.11,Activities of business and employers membership organizations,"Activities of business, employers and professional membership organizations",Activities of membership organizations,Other service activities,S_94_941_9411,Activities of business and employers membership organizations,"Activities of business, employers and professional membership organizations",Activities of membership organizations,Other service activities,T_94_941_9411
Other business activities (74),Activities of call centres,N,82.2,Activities of call centres,Activities of call centres,"Office administrative, office support and other business support activities",Administrative and support service activities,N_82_822_8220,Activities of call centres,Activities of call centres,"Office administrative, office support and other business support activities",Administrative and support service activities,O_82_822_8220
Other business activities (74),Activities of collection agencies and credit bureaus,N,82.91,Activities of collection agencies and credit bureaus,Business support service activities n.e.c.,"Office administrative, office support and other business support activities",Administrative and support service activities,N_82_829_8291,Activities of collection agencies and credit bureaus,Business support service activities n.e.c.,"Office administrative, office support and other business support activities",Administrative and support service activities,O_82_829_8291
Other business activities (74),Activities of employment placement agencies,N,78.1,Activities of employment placement agencies,Activities of employment placement agencies,Employment activities,Administrative and support service activities,N_78_781_7810,Activities of employment placement agencies,Activities of employment placement agencies,Employment activities,Administrative and support service activities,O_78_781_7810
