# ISO3 country code -> region archetype (N = advanced/high-income, S = emerging/developing).
# Basis: World Bank income groups (FY2025) — High income -> N, all others -> S. COMPREHENSIVE:
# covers every country in PWT 10.01 (183) so no country silently defaults; a code still absent
# (e.g. a non-PWT source) falls back to S in country_archetype(). Regenerate if the WB groups or
# the source country list change (2026-09-06 — expanded from the original 37-country stub so the
# GDP-weighted PWT aggregate is not dominated by dozens of unmapped small economies).
iso3,archetype
ABW,N
AGO,S
AIA,N
ALB,S
ARE,N
ARG,S
ARM,S
ATG,N
AUS,N
AUT,N
AZE,S
BDI,S
BEL,N
BEN,S
BFA,S
BGD,S
BGR,S
BHR,N
BHS,N
BIH,S
BLR,S
BLZ,S
BMU,N
BOL,S
BRA,S
BRB,N
BRN,N
BTN,S
BWA,S
CAF,S
CAN,N
CHE,N
CHL,N
CHN,S
CIV,S
CMR,S
COD,S
COG,S
COL,S
COM,S
CPV,S
CRI,S
CUW,N
CYM,N
CYP,N
CZE,N
DEU,N
DJI,S
DMA,S
DNK,N
DOM,S
DZA,S
ECU,S
EGY,S
ESP,N
EST,N
ETH,S
FIN,N
FJI,S
FRA,N
GAB,S
GBR,N
GEO,S
GHA,S
GIN,S
GMB,S
GNB,S
GNQ,S
GRC,N
GRD,N
GTM,S
GUY,N
HKG,N
HND,S
HRV,N
HTI,S
HUN,N
IDN,S
IND,S
IRL,N
IRN,S
IRQ,S
ISL,N
ISR,N
ITA,N
JAM,S
JOR,S
JPN,N
KAZ,S
KEN,S
KGZ,S
KHM,S
KNA,N
KOR,N
KWT,N
LAO,S
LBN,S
LBR,S
LCA,S
LKA,S
LSO,S
LTU,N
LUX,N
LVA,N
MAC,N
MAR,S
MDA,S
MDG,S
MDV,S
MEX,S
MKD,S
MLI,S
MLT,N
MMR,S
MNE,S
MNG,S
MOZ,S
MRT,S
MSR,N
MUS,S
MWI,S
MYS,S
NAM,S
NER,S
NGA,S
NIC,S
NLD,N
NOR,N
NPL,S
NZL,N
OMN,N
PAK,S
PAN,N
PER,S
PHL,S
POL,N
PRT,N
PRY,S
PSE,S
QAT,N
ROU,S
RUS,S
RWA,S
SAU,N
SDN,S
SEN,S
SGP,N
SLE,S
SLV,S
SRB,S
STP,S
SUR,S
SVK,N
SVN,N
SWE,N
SWZ,S
SXM,N
SYC,N
SYR,S
TCA,N
TCD,S
TGO,S
THA,S
TJK,S
TKM,S
TTO,N
TUN,S
TUR,S
TWN,N
TZA,S
UGA,S
UKR,S
URY,N
USA,N
UZB,S
VCT,S
VEN,S
VGB,N
VNM,S
YEM,S
ZAF,S
ZMB,S
ZWE,S
